Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt4288182,2026-07-25,2026-07-25,,"Atlanta","Atlanta",https://www.imdb.com/title/tt4288182/,Série de TV,8.6,30,2016,"Comédia, Drama, Musical",99391,2016-09-06,,10,2024-09-16
2,tt5687612,2026-07-25,2026-07-25,,"Fleabag","Fleabag",https://www.imdb.com/title/tt5687612/,Série de TV,8.7,30,2016,"Comédia, Drama",250303,2016-09-16,,,
3,tt7660850,2026-07-25,2026-07-25,,"Succession","Succession",https://www.imdb.com/title/tt7660850/,Série de TV,8.8,60,2018,"Comédia, Drama",362834,2018-06-03,,,
4,tt0903747,2026-07-25,2026-07-25,,"Breaking Bad","Breaking Bad",https://www.imdb.com/title/tt0903747/,Série de TV,9.5,48,2008,"Policial, Drama, Suspense",2652235,2008-01-20,,,
5,tt5348176,2026-07-25,2026-07-25,,"Barry","Barry",https://www.imdb.com/title/tt5348176/,Série de TV,8.3,30,2018,"Ação, Comédia, Policial, Drama",144641,2018-03-25,,,
6,tt8772296,2026-07-25,2026-07-25,,"Euphoria","Euphoria",https://www.imdb.com/title/tt8772296/,Série de TV,8.1,60,2019,"Drama",320493,2019-06-16,,,
7,tt3032476,2026-07-25,2026-07-25,,"Better Call Saul","Better Call Saul",https://www.imdb.com/title/tt3032476/,Série de TV,9.0,45,2015,"Policial, Drama",852262,2015-02-09,,,
8,tt8577458,2026-07-25,2026-07-25,,"Alta Fidelidade","High Fidelity",https://www.imdb.com/title/tt8577458/,Série de TV,7.7,30,2020,"Comédia, Drama, Musical, Romance",18507,2020-02-14,,,
9,tt0773262,2026-07-25,2026-07-25,,"Dexter","Dexter",https://www.imdb.com/title/tt0773262/,Série de TV,8.6,60,2006,"Policial, Drama, Mistério, Suspense",947079,2006-10-01,,,
10,tt0098936,2026-07-25,2026-07-25,,"Twin Peaks","Twin Peaks",https://www.imdb.com/title/tt0098936/,Série de TV,8.7,50,1990,"Policial, Drama, Mistério, Suspense",249069,1991-04-07,,,
11,tt0108906,2026-07-25,2026-07-25,,"O Reino","Riget",https://www.imdb.com/title/tt0108906/,Série de TV,8.2,60,1994,"Comédia, Drama, Fantasia, Terror, Mistério",21620,1994-11-24,,10,2025-02-18
12,tt4093826,2026-07-25,2026-07-25,,"Twin Peaks","Twin Peaks",https://www.imdb.com/title/tt4093826/,Série de TV,8.5,60,2017,"Policial, Drama, Terror, Mistério",91061,2017-05-22,,,
