Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt11691774,2026-07-25,2026-07-25,,"Only Murders in the Building","Only Murders in the Building",https://www.imdb.com/title/tt11691774/,Série de TV,8.0,30,2021,"Comédia, Policial, Drama, Mistério, Suspense",205610,2021-08-31,,,
2,tt31938062,2026-07-25,2026-07-25,,"The Pitt","The Pitt",https://www.imdb.com/title/tt31938062/,Série de TV,8.9,50,2025,"Drama",162618,2025-01-09,,,
3,tt5834204,2026-07-25,2026-07-25,,"O Conto da Aia","The Handmaid's Tale",https://www.imdb.com/title/tt5834204/,Série de TV,8.3,60,2017,"Drama, Ficção científica, Suspense",302644,2018-03-10,,,
4,tt3526078,2026-07-25,2026-07-25,,"Schitt's Creek","Schitt$ Creek",https://www.imdb.com/title/tt3526078/,Série de TV,8.5,22,2015,"Comédia",175633,2015-01-13,,,
5,tt0264235,2026-07-25,2026-07-25,,"Segura a Onda","Curb Your Enthusiasm",https://www.imdb.com/title/tt0264235/,Série de TV,8.8,30,2000,"Comédia",167832,2000-10-15,,,
6,tt7767422,2026-07-25,2026-07-25,,"Sex Education","Sex Education",https://www.imdb.com/title/tt7767422/,Série de TV,8.2,60,2019,"Comédia, Drama, Romance",401434,2019-01-11,,,
7,tt8398600,2026-07-25,2026-07-25,,"After Life: Vocês Vão Ter de Me Engolir","After Life",https://www.imdb.com/title/tt8398600/,Série de TV,8.4,30,2019,"Comédia, Drama",170439,2019-03-08,,,
8,tt8543390,2026-07-25,2026-07-25,,"Amor Moderno","Modern Love",https://www.imdb.com/title/tt8543390/,Série de TV,7.9,30,2019,"Comédia, Drama, Romance",40542,2019-10-18,,,
9,tt14218830,2026-07-25,2026-07-25,,"Abbott Elementary","Abbott Elementary",https://www.imdb.com/title/tt14218830/,Série de TV,8.2,22,2021,"Comédia",54085,2021-12-07,,,
10,tt3581920,2026-07-25,2026-07-25,,"The Last of Us","The Last of Us",https://www.imdb.com/title/tt3581920/,Série de TV,8.4,50,2023,"Ação, Aventura, Drama, Terror, Ficção científica, Suspense",745231,2023-01-15,,,
11,tt5875444,2026-07-25,2026-07-25,,"Slow Horses","Slow Horses",https://www.imdb.com/title/tt5875444/,Série de TV,8.3,50,2022,"Drama, Suspense",151419,2022-04-01,,,
12,tt7016936,2026-07-25,2026-07-25,,"Killing Eve: Dupla Obsessão","Killing Eve",https://www.imdb.com/title/tt7016936/,Série de TV,8.0,42,2018,"Ação, Aventura, Drama, Suspense",154898,2018-04-08,,,
13,tt1497609,2026-07-25,2026-07-25,,"Vexed","Vexed",https://www.imdb.com/title/tt1497609/,Série de TV,7.2,60,2010,"Comédia, Policial, Mistério",4110,2010-08-15,,,
14,tt1837576,2026-07-25,2026-07-25,,"Escândalos: Os Bastidores do Poder","Scandal",https://www.imdb.com/title/tt1837576/,Série de TV,7.7,43,2012,"Drama, Suspense",84720,2016-11-28,,,
15,tt2234222,2026-07-25,2026-07-25,,"Orphan Black","Orphan Black",https://www.imdb.com/title/tt2234222/,Série de TV,8.3,44,2013,"Drama, Ficção científica, Suspense",125524,2013-03-30,,,
16,tt2802850,2026-07-25,2026-07-25,,"Fargo","Fargo",https://www.imdb.com/title/tt2802850/,Série de TV,8.8,60,2014,"Policial, Drama, Suspense",472377,2014-04-15,,,
17,tt5555260,2026-07-25,2026-07-25,,"This Is Us: Histórias de Família","This Is Us",https://www.imdb.com/title/tt5555260/,Série de TV,8.7,45,2016,"Comédia, Drama, Romance",175630,2016-09-20,,,
18,tt8421350,2026-07-25,2026-07-25,,"Manifesto","Manifest",https://www.imdb.com/title/tt8421350/,Série de TV,7.0,43,2018,"Drama, Mistério, Ficção científica, Suspense",105956,2019-10-04,,,
19,tt14954666,2026-07-25,2026-07-25,,"The Idol","The Idol",https://www.imdb.com/title/tt14954666/,Série de TV,4.4,60,2023,"Drama, Musical",116861,2023-06-04,,,
20,tt1796960,2026-07-25,2026-07-25,,"Homeland - Segurança Nacional","Homeland",https://www.imdb.com/title/tt1796960/,Série de TV,8.3,60,2011,"Policial, Drama, Mistério, Suspense",386717,2012-03-04,,,
21,tt4574334,2026-07-25,2026-07-25,,"Stranger Things","Stranger Things",https://www.imdb.com/title/tt4574334/,Série de TV,8.6,60,2016,"Drama, Fantasia, Terror, Mistério, Ficção científica, Suspense",1723783,2016-07-15,,,
22,tt2356777,2026-07-25,2026-07-25,,"True Detective","True Detective",https://www.imdb.com/title/tt2356777/,Série de TV,8.8,60,2014,"Policial, Drama, Mistério, Suspense",763415,2014-01-12,,,
23,tt0413573,2026-07-25,2026-07-25,,"A Anatomia de Grey","Grey's Anatomy",https://www.imdb.com/title/tt0413573/,Série de TV,7.6,45,2005,"Drama, Romance",376252,2005-07-07,,,
24,tt21101208,2026-07-25,2026-07-25,,"The Flash","The Flash",https://www.imdb.com/title/tt21101208/,Vídeo,4.3,72,2018,"Ação",6,2018-05-25,"Matthew Ferguson",,
25,tt1327801,2026-07-25,2026-07-25,,"Glee","Glee",https://www.imdb.com/title/tt1327801/,Série de TV,6.8,45,2009,"Comédia, Drama, Musical, Musical",162087,2009-09-13,,,
26,tt1190634,2026-07-25,2026-07-25,,"The Boys","The Boys",https://www.imdb.com/title/tt1190634/,Série de TV,8.5,60,2019,"Ação, Comédia, Policial, Drama, Ficção científica",1013813,2019-07-26,,,
