Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt7671070,2026-07-25,2026-07-25,,"Industry","Industry",https://www.imdb.com/title/tt7671070/,Série de TV,7.5,50,2020,"Drama, Suspense",28521,2020-11-09,,,
2,tt27444205,2026-07-25,2026-07-25,,"Paradise","Paradise",https://www.imdb.com/title/tt27444205/,Série de TV,7.9,,2025,"Ação, Drama, Mistério, Ficção científica, Suspense",86243,2025-01-28,,,
3,tt22202452,2026-07-25,2026-07-25,,"Pluribus","Pluribus",https://www.imdb.com/title/tt22202452/,Série de TV,7.9,60,2025,"Drama, Ficção científica",167000,2025-11-07,,,
4,tt13406094,2026-07-25,2026-07-25,,"The White Lotus","The White Lotus",https://www.imdb.com/title/tt13406094/,Série de TV,8.0,60,2021,"Comédia, Drama, Mistério",330369,2021-07-11,,,
5,tt33332385,2026-07-25,2026-07-25,,"O Segredo de Widow's Bay","Widow's Bay",https://www.imdb.com/title/tt33332385/,Série de TV,8.1,40,2026,"Comédia, Drama, Terror",59784,2026-04-29,,,
6,tt11280740,2026-07-25,2026-07-25,,"Ruptura","Severance",https://www.imdb.com/title/tt11280740/,Série de TV,8.6,50,2022,"Drama, Mistério, Ficção científica, Suspense",399255,2022-02-18,,,
7,tt14403178,2026-07-25,2026-07-25,,"Treta","Beef",https://www.imdb.com/title/tt14403178/,Série de TV,8.0,30,2023,"Comédia, Drama",177630,2023-04-06,,,
8,tt23649128,2026-07-25,2026-07-25,,"O Estúdio","The Studio",https://www.imdb.com/title/tt23649128/,Série de TV,8.0,30,2025,"Comédia, Drama",68206,2025-03-26,,,
9,tt14452776,2026-07-25,2026-07-25,,"O Urso","The Bear",https://www.imdb.com/title/tt14452776/,Série de TV,8.5,1611,2022,"Comédia, Drama",319804,2022-06-23,,,
10,tt13623580,2026-07-25,2026-07-25,,"Reservation Dogs","Reservation Dogs",https://www.imdb.com/title/tt13623580/,Série de TV,8.3,30,2021,"Comédia, Policial",28594,2021-08-09,,,
